Citation,English
"High Flying Bird",English
"In the Shadow of the Moon",English
"Octonauts & the Caves of Sac Actun",English
"Roxanne Roxanne",English
"Someone Great",English
"Spenser Confidential",English
"The Land of Steady Habits",English
"The Rachel Divide",English
"Voyuer ",English
"Win It All",English
1922,English
"A Tale of Two Kitchens",English/Spanish
"Alex Strangelove",English
Apostle,English
Benji,English
Bright,English
Cargo,English
"Concrete Cowboy",English
"Feel the Beat",English
"Nail Bomber: Manhunt",English
Polar,English
"Sand Castle",English
"Shimmer Lake",English
Spectral,English
"The Babysitter",English
"The Discovery",English
"The Laundromat",English
"The Legend of Cocaine Island",English
"The Outsider",English/Japanese
"To All the Boys: Always and Forever",English
"Travis Scott: Look Mom I Can Fly",English
Uncorked,English
"Ariana Grande: Excuse Me, I Love You",English
ARQ,English
Birders,English/Spanish
"First Match",English
Fractured,English
"Irreplaceable You",English
"John Was Trying to Contact Aliens",English
"Murder to Mercy: The Cyntoia Brown Story",English
"My Own Man",English
"Nappily Ever After",English
"Over the Moon",English
"Strong Island",English
"Sturgill Simpson Presents: Sound & Fury",English
"Take Your Pills",English
"The Mars Generation",English
"The Willoughbys",English
"Triple Frontier",English
"Walk. Ride. Rodeo.",English
Wheelman,English
"When We First Met",English
"A 3 Minute Hug",English/Spanish
"All the Bright Places",English
"All Together Now",English
"Canvas ",English
"Chadwick Boseman: Portrait of an Artist",English
"Da 5 Bloods",English
"Dolly Parton: A MusiCares Tribute",English
"Eurovision Song Contest: The Story of Fire Saga",English
"Gerald's Game",English
"His House",English
"Jingle Jangle: A Christmas Journey",English
"Life Overtakes Me",English/Swedish
Monster,English
"Mowgli: Legend of the Jungle",English
"Nobody Speak: Trials of the Free Press",English
"Set It Up",English
"The Incredible Jessica James",English
Tigertail,English/Taiwanese/Mandarin
Tramps,English
"What Did Jack Do?",English
"Bad Trip",English
"Bird Box",English
"I'll Sleep When I'm Dead",English
"I'm Thinking of Ending Things",English
"It Takes a Lunatic",English
"Recovery Boys",English
"ReMastered: Who Killed Jam Master Jay?",English
"Shawn Mendes: In Wonder",English
"The American Meme",English
"The Angel",English
"The Red Sea Diving Resort",English
"What Would Sophia Loren Do?",English
"Arlo the Alligator Boy",English
"Bikram: Yogi, Guru, Predator",English
"Blue Miracle",English
"CounterPunch ",English
"Crack: Cocaine, Corruption & Conspiracy",English
Extraction,English
"Giving Voice",English
"Hillbilly Elegy",English
"Hope Frozen: A Quest to Live Twice",Thia/English
"Imperial Dreams",English
"Malcolm & Marie",English
"Michael Bolton's Big, Sexy, Valentine's Day Special",English
Moxie,English
Tallulah,English
"The Old Guard",English
"Tony Robbins: I Am Not Your Guru",English
"22 July",English
"A Futile and Stupid Gesture",English
"A Love Song for Latasha",English
"All in My Family",English/Mandarin
"Always Be My Maybe",English
Becoming,English
Calibre,English
"Death to 2020",English
"Have a Good Trip: Adventures in Psychedelics",English
"Heroin(e) ",English
"Mercury 13",English
"Saving Capitalism",English
"The Boys in the Band",English
"The Boys in the Band: Something Personal",English
"The Other Side of the Wind",English
"To the Bone",English
"Amanda Knox",English
"Biggie: I Got a Story to Tell",English
"Cops and Robbers",English
"I Don't Feel at Home in This World Anymore",English
Mank,English
"Our Souls at Night",English
"Outlaw King",English
"ReMastered: Who Shot the Sheriff?",English
"Seeing Allred",English
"Spelling the Dream",English
"The Claudia Kishi Club",English
"The Half of It",English
"The Highwaymen",English
"The Lonely Island Presents: The Unauthorized Bash Brothers Experience",English
"The Meyerowitz Stories (New and Selected)",English
"Feminists: What Were They Thinking?",English
"Gaga: Five Foot Two",English
"I'm No Longer Here: A Discussion with Guillermo del Toro and Alfonso Cuaron",English
"Kingdom of Us",English
"Ma Rainey's Black Bottom",English
"Ma Rainey's Black Bottom: A Legacy Brought to Screen",English
"Operation Varsity Blues: The College Admissions Scandal",English
Pele,English
"ReMastered: Devil at the Crossroads",English
"ReMastered: The Lion's Share",English
"ReMastered: The Miami Showband Massacre",English
Resurface,English
"Rocko's Modern Life: Static Cling",English
"The Christmas Chronicles",English
"The Dirt",English
"13th: A Conversation with Oprah Winfrey & Ava DuVernay",English
"Angela's Christmas",English
"Angela's Christmas Wish",English
Beats,English
"Circus of Books",English
"Dance Dreams: Hot Chocolate Nutcracker",English
"Derren Brown: Sacrifice",English
"End Game",English
Evelyn,English
"Grass Is Greener",English
"Joshua: Teenager vs. Superpower",English
"Keith Richards: Under the Influence",English
"Knock Down the House",English
"Loudon Wainwright III: Surviving Twin",English
"My Beautiful Broken Brain",English
"One of Us",English
"Pieces of a Woman",English
"Ram Dass, Going Home",English
"ReMastered: Tricky Dick & the Man in Black",English
"The Devil All the Time",English
"The Dig",English
"The Great Hack",English
"The White Tiger",English
"To All the Boys I've Loved Before",English
"American Murder: The Family Next Door",English
"Audrie & Daisy",English
"First They Killed My Father",Khmer/English/French
"Fyre: The Greatest Party That Never Happened",English
"Into the Inferno",English
"LA Originals",English
"Ladies First",English/Hindi
Paddleton,English
"Private Life",English
"The 40-Year-Old Version",English
"The King",English
"The Road to El Camino: A Breaking Bad Movie",English
"The Siege of Jadotville",English
"Zion ",English
"Dolemite Is My Name",English
"El Camino: A Breaking Bad Movie",English
Extremis,English
"Father Soldier Son",English
"Get Me Roger Stone",English
"Mucho Mucho Amor: The Legend of Walter Mercado ",Spanish/English
"Octonauts & the Great Barrier Reef",English
Okja,English/Korean
"ReMastered: Massacre at the Stadium",English/Spanish
"ReMastered: The Two Killings of Sam Cooke",English
"Secrets of the Saqqara Tomb",English/Arabic
"Sitara: Let Girls Dream",English
"Sky Ladder: The Art of Cai Guo-Qiang",English/Mandarin
"Team Foxcatcher",English/Russian
"The Ballad of Buster Scruggs",English
"The Death and Life of Marsha P. Johnson",English
"The Fundamentals of Caring",English
"The Other One: The Long Strange Trip of Bob Weir",English
"American Factory",English
"Fire in Paradise",English
"Long Shot",English
"Miss Americana",English
"Period. End of Sentence.",English/Hindi
"Shawn Mendes: Live in Concert",English
Shirkers,English
"The Black Godfather",English
"The Irishman: In Conversation",English
"The Speed Cubers",English
"They'll Love Me When I'm Dead",English
Tig,English
"Barbra: The Music, The Mem'ries, The Magic!",English
"City of Joy",English
"Dick Johnson Is Dead",English
"Homecoming: A Film by Beyonce ",English
"Invader Zim: Enter the Florpus",English
"Joan Didion: The Center Will Not Hold",English
"John Mulaney & the Sack Lunch Bunch",English
"Reversing Roe",English
"The White Helmets",English
"Athlete A",English
Quincy,English
"Rolling Thunder Revue: A bob Dylan Story by Martin Scorsere",English
"Tell Me Who I Am",English
"The Bleeding Edge",English
"The Social Dilemma",English
"The Two Popes",English
"What Happened, Miss Simone?",English
Anima,English
"Beasts of No Nation",English/Akan
"Brene Brown: The Call to Courage",English
"Crip Camp: A Disability Revolution",English
"Jim & Andy: The Great Beyond - Featuring a Very Special, Contractually Obligated Mention of Tony Cliffton ",English
"Justin Timberlake + The Tennessee Kids",English
"If Anything Happens I Love You",English
"The Irishman",English
"The Trial of the Chicago 7",English
"A Secret Love",English
Icarus,English
"Marriage Story",English
"The Ivory Game",English
"Struggle: The Life and Lost Art of Szukaiski",English
"Chasing Coral ",English
"My Octopus Teacher",English
"Rising Phoenix",English
13th,English
"Disclosure: Trans Lives on Screen",English
Klaus,English
Seaspiracy,English
"Cuba and the Cameraman ",English
"Dancing with the Birds",English
"Ben Platt: Live from Radio City Music Hall",English
"Taylor Swift: Reputation Stadium Tour",English
"Winter on Fire: Ukraine's Fight for Freedom",English/Ukranian/Russian
"Springsteen on Broadway",English
"David Attenborough: A Life on Our Planet",English
